"ID";"NameOfStation";"Line";"Longitude_WGS84";"Latitude_WGS84";"AdmArea";"District";"Year";"Month";"global_id";"geodata_center";"geoarea";
"№ п/п";"Станция метрополитена";"Линия";"Долгота в WGS-84";"Широта в WGS-84";"Административный округ";"Район";"Год";"Месяц";"global_id";"geodata_center";"geoarea";
"6";"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"37.57755224";"55.56967951";"Юго-Западный административный округ";"район Северное Бутово";"2023";"Январь";"2533516523";"";"";
"7";"Тёплый стан";"Калужско-Рижская линия";"37.50697019";"55.61863853";"Юго-Западный административный округ";"район Ясенево";"2023";"Январь";"2533516530";"";"";
"8";"Текстильщики";"Таганско-Краснопресненская линия";"37.73242901";"55.70881677";"Юго-Восточный административный округ";"район Текстильщики";"2023";"Январь";"2533516536";"";"";
"9";"ВДНХ";"Калужско-Рижская линия";"37.64142125";"55.82118628";"Северо-Восточный административный округ";"Останкинский район";"2023";"Январь";"2533516537";"";"";
"4";"Автозаводская";"Замоскворецкая линия";"37.65858";"55.70801";"Южный административный округ";"Даниловский район";"2023";"Январь";"2533518833";"";"";
"1";"Комсомольская";"Кольцевая линия";"37.65486112";"55.77574627";"Центральный административный округ";"Красносельский район";"2023";"Январь";"2533523261";"";"";
"10";"Пражская";"Серпуховско-Тимирязевская линия";"37.60499";"55.61354";"Южный административный округ";"район Чертаново Центральное";"2023";"Январь";"2533523954";"";"";
"1";"Комсомольская";"Кольцевая линия";"37.65486112";"55.77574627";"Центральный административный округ";"Красносельский район";"2023";"Февраль";"2571519982";"";"";
"2";"Выхино";"Таганско-Краснопресненская линия";"37.81860885";"55.71545536";"Юго-Восточный административный округ";"район Выхино-Жулебино";"2023";"Февраль";"2571519991";"";"";
"3";"Щёлковская";"Арбатско-Покровская линия";"37.79874691";"55.80974166";"Восточный административный округ";"район Северное Измайлово";"2023";"Февраль";"2571519999";"";"";
"4";"Автозаводская";"Замоскворецкая линия";"37.65858";"55.70801";"Южный административный округ";"Даниловский район";"2023";"Февраль";"2571520007";"";"";
"5";"Новогиреево";"Калининская линия";"37.81742514";"55.723330";"Восточный административный округ";"район Вешняки";"2023";"Февраль";"2571520018";"";"";
"6";"Тёплый стан";"Калужско-Рижская линия";"37.50697019";"55.61863853";"Юго-Западный административный округ";"район Ясенево";"2023";"Февраль";"2571520021";"";"";
